id,Exam1,Exam2,Exam3,Final,HS_GPA,COMP_ACT_SCORE,TRANS_TOT_CR,BFAS_A_1,BFAS_A_2,BFAS_A_3,BFAS_A_4,BFAS_A_5,BFAS_A_6,BFAS_A_7,BFAS_A_8,BFAS_A_9,BFAS_A_10,BFAS_A_11,BFAS_A_12,BFAS_A_13,BFAS_A_14,BFAS_A_15,BFAS_A_16,BFAS_A_17,BFAS_A_18,BFAS_A_19,BFAS_A_20,BFAS_A_21,BFAS_A_22,BFAS_A_23,BFAS_A_24,BFAS_A_25,BFAS_A_26,BFAS_A_27,BFAS_A_28,BFAS_A_29,BFAS_A_30,BFAS_A_31,BFAS_A_32,BFAS_A_33,BFAS_A_34,BFAS_A_35,BFAS_A_36,BFAS_A_37,BFAS_A_38,BFAS_A_39,BFAS_A_40,BFAS_A_41,BFAS_A_42,BFAS_A_43,BFAS_A_44,BFAS_A_45,BFAS_A_46,BFAS_A_47,BFAS_A_48,BFAS_A_49,BFAS_A_50,BFAS_A_51,BFAS_A_52,BFAS_A_53,BFAS_A_54,BFAS_A_55,BFAS_A_56,BFAS_A_57,BFAS_A_58,BFAS_A_59,BFAS_A_60,BFAS_A_61,BFAS_A_62,BFAS_A_63,BFAS_A_64,BFAS_A_65,BFAS_A_66,BFAS_A_67,BFAS_A_68,BFAS_A_69,BFAS_A_70,BFAS_A_71,BFAS_A_72,BFAS_A_73,BFAS_A_74,BFAS_A_75,BFAS_A_76,BFAS_A_77,BFAS_A_78,BFAS_A_79,BFAS_A_80,BFAS_A_81,BFAS_A_82,BFAS_A_83,BFAS_A_84,BFAS_A_85,BFAS_A_86,BFAS_A_87,BFAS_A_88,BFAS_A_89,BFAS_A_90,BFAS_A_91,BFAS_A_92,BFAS_A_93,BFAS_A_94,BFAS_A_95,BFAS_A_96,BFAS_A_97,BFAS_A_98,BFAS_A_99,BFAS_A_100,BFAS_Withdrawal,BFAS_Volatility,BFAS_5_N,BFAS_Compassion,BFAS_Politeness,BFAS_5_A,BFAS_Industriousness,BFAS_Orderliness,BFAS_5_C,BFAS_Enthusiasm,BFAS_Assertiveness,BFAS_5_E,BFAS_Intellect,BFAS_Openness,BFAS_5_O,SE_1,SE_2,SE_3,SE_4,SE_5,SE_6,SE_7,SE_8,SE_9,SE_10,SE_11,SE_12,SE_13,SE_14,SE_15,SE_16,SE_total,anx_1,anx_2,anx_3,anx_4,anx_5,anx_6,anx_7,anx_8,anx_9,anx_10,anxiety_total,Gender
12003,41,41,40,85,3.73,33,46,1,1,2,3,2,2,2,4,4,5,5,4,5,4,1,2,3,4,4,5,1,5,5,3,4,2,4,1,2,5,4,1,5,2,4,4,2,1,4,4,1,4,1,4,2,5,4,4,2,1,5,2,4,2,2,4,2,5,4,1,4,1,2,5,4,5,4,5,5,5,5,5,2,2,4,3,1,2,1,1,5,1,5,4,4,2,4,2,4,1,4,2,5,4,3,5,3,4,2,5,4.3,3.2,3.75,4.4,3.1,3.75,1.4,2.6,2,3.1,4.2,3.65,3.6,4.9,4.25,3,6,6,7,5,5,5,7,6,4,7,3,5,6,6,6,5.4375,3,5,5,5,4,4,2,2,5,5,4,Male
11801,31,34,41,73,3.9,22,38,4,2,5,4,4,4,5,1,3,5,3,5,2,1,3,3,1,5,5,4,5,5,4,1,4,4,5,5,3,4,1,2,1,1,4,4,1,5,3,4,5,5,5,5,2,3,3,2,3,2,2,2,2,1,2,2,4,5,4,4,3,1,4,1,3,3,1,2,4,3,3,5,5,5,4,2,1,1,2,3,5,1,1,5,3,3,1,3,4,2,1,5,4,5,5,4,3,4,2,5,2.2,3.4,2.8,4.7,4.5,4.6,4.1,4.5,4.3,4.9,3.7,4.3,3.8,3.8,3.8,7,3,5,5,7,6,5,7,6,3,7,6,7,7,7,6,5.875,3,4,3,4,4,2,3,2,5,1,3.1,Female
13535,44,41,40,66,3.78,25,0,1,1,5,5,3,2,3,4,5,5,1,3,1,1,1,4,1,4,4,3,5,5,2,3,3,1,1,4,1,5,1,1,1,1,4,5,1,5,5,1,4,4,4,5,2,3,3,3,3,4,2,1,1,4,4,5,5,5,5,1,1,1,4,1,4,1,1,4,1,1,4,5,5,5,2,5,1,1,1,1,4,1,1,5,2,1,1,3,4,2,1,4,5,5,4,1,4,2,4,5,2,1.4,1.7,4.6,3.9,4.25,4.3,3.5,3.9,4.5,3.9,4.2,3.5,3.6,3.55,2,3,3,4,5,6,6,6,4,7,7,7,7,5,7,4,5.1875,2,5,2,5,5,5,5,5,5,5,4.4,Female
13609,38,37,38,79,3.92,27,0,2,3,4,3,3,2,5,2,4,5,4,4,4,3,4,4,1,5,4,5,2,5,2,3,4,2,4,3,2,3,2,1,2,2,2,4,2,5,4,5,2,5,5,4,3,2,4,4,2,4,4,1,2,1,2,4,4,5,4,2,2,1,5,2,4,2,1,3,2,4,4,4,3,5,4,4,1,1,2,2,2,1,3,3,2,2,1,5,3,1,1,5,2,5,4,2,1,5,2,5,2.9,2,2.45,4.6,4.6,4.6,3.8,4.2,4,3.9,3.7,3.8,3.4,4.2,3.8,5,7,4,5,6,6,6,6,7,7,7,7,7,7,7,7,6.3125,3,4,3,2,2,1,1,2,5,1,2.4,Female
11594,46,39,47,100,3.85,31,4,1,2,2,3,4,4,3,4,2,4,4,4,4,1,2,1,2,3,3,5,2,4,4,3,4,3,5,2,3,4,3,1,4,2,4,2,1,2,4,5,3,4,3,4,2,3,4,3,3,2,4,2,3,2,1,2,4,4,2,2,4,2,3,2,4,3,4,3,2,4,2,4,2,5,4,3,2,3,4,2,2,2,5,4,2,2,1,3,2,1,2,5,4,5,3,4,1,3,2,5,3.5,3.5,3.5,4.2,4.1,4.15,2.2,2.8,2.5,4.1,2.7,3.4,4,4.4,4.2,2,5,5,6,5,6,6,5,5,4,7,3,5,5,5,5,4.9375,2,3,3,3,3,2,4,2,4,2,2.8,Male
11722,37,32,37,74,3.56,24,0,2,2,3,2,4,5,5,4,3,4,5,4,3,5,2,2,2,3,3,3,4,5,5,2,2,5,5,3,3,5,3,2,4,3,4,3,2,3,3,5,2,4,2,2,2,4,3,5,4,2,5,1,3,2,4,2,4,4,5,2,3,1,3,2,2,4,5,4,5,5,1,5,1,5,4,1,4,2,2,1,4,2,4,5,3,5,4,3,2,1,4,5,5,5,4,5,4,2,5,5,3.9,4.4,4.15,4.5,3.2,3.85,2.1,2.7,2.4,3.5,3.1,3.3,3.3,4.5,3.9,1,5,1,6,4,5,3,7,5,3,7,5,7,7,6,6,4.875,2,5,3,4,3,3,2,5,3,2,3.2,Female
11466,38,43,37,82,3.64,24,0,3,3,3,4,4,3,3,2,3,3,3,2,2,3,3,3,3,2,2,3,5,5,4,3,3,4,3,3,2,3,3,3,4,3,2,3,4,3,2,3,3,3,3,3,3,4,3,3,3,3,2,3,4,3,3,3,3,3,3,3,1,2,2,5,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,5,1,5,5,1,1,2,5,5,5,3,3,3,3,2,1,4,1,4,5,2.7,2.8,2.75,3.4,2.9,3.15,2.4,2.9,2.65,3.1,2.9,3,3.1,3,3.05,5,3,3,6,4,3,4,6,6,4,4,5,6,5,6,6,4.75,3,4,2,3,1,2,4,4,5,2,3,Male
12532,35,32,38,67,3.6,24,29,4,2,4,4,4,1,4,2,3,2,4,2,3,2,2,2,3,3,3,3,4,3,2,3,3,2,4,3,2,4,3,3,3,3,3,3,2,4,4,2,5,5,4,4,4,4,4,3,3,3,3,3,2,2,3,4,4,4,4,3,2,2,4,2,3,4,1,4,4,3,2,3,4,4,4,4,2,2,4,3,3,2,4,4,3,2,2,3,3,2,2,3,2,4,3,4,4,3,4,4,2.6,2.8,2.7,3.4,3.8,3.6,3.6,3.3,3.45,3.8,3.2,3.5,3.2,3.1,3.15,3,4,4,4,6,6,5,7,6,6,6,6,6,7,6,7,5.5625,4,2,2,2,3,2,2,4,2,2,2.5,Male
11814,46,39,44,86,3.91,30,0,5,1,3,4,3,2,4,4,3,4,5,2,5,2,2,2,4,4,3,4,4,4,4,2,2,2,5,3,2,5,2,3,4,1,2,5,4,2,4,4,5,3,3,4,1,2,2,2,1,2,5,1,2,2,4,3,3,5,4,4,4,2,3,1,4,2,3,2,4,2,2,5,2,4,4,2,2,4,4,1,4,2,4,3,3,2,2,4,4,2,3,4,3,4,4,4,4,3,2,4,3.1,2.6,2.85,3.9,3.1,3.5,2.5,3.3,2.9,4.1,3.7,3.9,3.3,3.8,3.55,2,3,4,5,5,5,4,5,4,3,4,4,3,4,4,5,4,2,2,3,3,3,3,4,3,5,2,3,Male
11917,30,41,34,72,3.96,27,0,5,2,4,4,4,2,4,2,3,4,3,4,3,2,2,4,2,4,3,4,4,4,2,2,4,2,4,4,3,4,2,4,2,3,4,4,2,4,3,3,4,4,4,4,2,2,4,2,3,3,4,2,2,2,2,4,4,4,4,3,2,2,2,2,4,2,2,3,3,3,4,4,4,4,4,4,2,2,3,3,3,3,4,4,4,2,2,3,3,3,2,4,3,4,4,4,2,3,3,4,2.3,2.2,2.25,3.7,4,3.85,3.4,3.7,3.55,3.9,3.1,3.5,3.8,3.4,3.6,4,5,4,5,5,4,4,6,7,6,6,6,6,6,6,6,5.375,3,4,3,3,3,3,3,3,4,2,3.1,Male
